"pH","Turbidity","TDS","Dissolved.Oxygen","Nitrate","Lead","E.Coli","Potential_Health_Issue"
8.38,1.73,555.8,10.53,2.87,0.0039,0,"Safe for consumption"
7.27,0.3,472.3,7.31,1.06,0.0011,0,"Safe for consumption"
8.38,0.37,531.1,7.5,4.23,0.0038,4,"Gastroenteritis"
7.11,0.47,396.4,9.99,5.5,0,0,"Safe for consumption"
6.62,1.87,638.8,4.91,5.47,0.0047,0,"Anaerobic decomposition (produces harmful gases)"
8.97,1.36,402.3,5.33,1.33,0,0,"Alkalosis (from very alkaline water)"
7.45,1.58,821.5,5.12,0.04,0.0077,0,"Safe for consumption"
6.39,1.25,246.7,5.13,2.09,0,0,"Acidosis (from very acidic water)"
8.93,1.7,568.8,5.03,8.79,0.0079,0,"Alkalosis (from very alkaline water)"
8.06,2.69,354.6,5.92,5.32,0,0,"Safe for consumption"
7.06,0.68,150.5,7.47,0.71,0,0,"Safe for consumption"
6.17,0.48,426.9,9.83,1.64,0,3,"Acidosis (from very acidic water)"
7.05,0.14,682.1,6.8,0.5,0,0,"Safe for consumption"
6.84,1.16,279.4,8.31,0.06,0.0087,0,"Safe for consumption"
7.28,0.76,587.7,8.97,2.78,0,0,"Safe for consumption"
7.37,0.76,351.7,12.69,0.98,0,7,"Gastroenteritis"
7.18,1.62,677.1,8.68,2.35,0.0694,0,"Severe neurological damage"
8.14,4.85,1266,7.23,1.52,0,0,"Kidney stones"
7.7,1.35,305.9,8.39,1.73,0,452,"Gastroenteritis"
8.09,0.81,278,6.92,0.62,0,0,"Safe for consumption"
6.77,0.75,487.6,8.5,3.8,0.0014,0,"Safe for consumption"
5.49,5.3,847.2,5.9,3.98,0,2,"Gastrointestinal illnesses"
7.56,0.5,622.7,8.9,5.83,0.0051,0,"Safe for consumption"
8.39,1.27,471.3,4.9,0.1,0,0,"Anaerobic decomposition (produces harmful gases)"
6.81,0.12,646.9,9.39,0.8,0.0094,0,"Safe for consumption"
8.29,2.03,366.7,4.4,8.02,0.0076,8,"Gastroenteritis"
6.89,0.97,603,8.19,1.36,0,3,"Gastroenteritis"
6.94,1.69,326.8,6.87,3.55,0.064,0,"Severe neurological damage"
7.02,0.64,296.2,10.63,2.61,0,7,"Gastroenteritis"
6.8,0.14,474,6.27,1.05,0.0066,9,"Gastroenteritis"
7.44,4.07,414.4,8.45,5.72,0,0,"Safe for consumption"
6.36,1.71,548.4,8.86,1.04,0,9,"Gastroenteritis"
8.69,0.93,335.7,9.72,2.31,0.0027,0,"Alkalosis (from very alkaline water)"
7.18,1.21,942.7,7.58,1.43,0.007,9,"Gastroenteritis"
9.6,0.32,463.5,4.27,2.18,0,0,"Alkalosis (from very alkaline water)"
6.88,1.62,315.7,7.87,5.4,0.0374,289,"Gastroenteritis"
7.69,0.82,326,7.32,1.2,0,0,"Safe for consumption"
6.1,0.37,302.3,4.86,0.4,0,1908,"Anaerobic decomposition (produces harmful gases)"
5.99,1.48,635.4,8.85,2.76,0.0043,0,"Acidosis (from very acidic water)"
6.87,0.04,556.8,8.66,9,0.0059,0,"Safe for consumption"
6.08,0.12,852.7,9.41,0.25,0,9,"Gastroenteritis"
9.33,10.99,570.8,5.11,0.21,0,6,"Gastroenteritis"
8.54,2.14,595.3,11.55,4.22,0,0,"Alkalosis (from very alkaline water)"
8.57,1.25,502.3,9.16,0.67,0,9025,"Alkalosis (from very alkaline water)"
6.21,0.39,452.6,8.17,2.32,0,1,"Gastroenteritis"
6.1,3.19,557.6,6.53,2.46,0,0,"Acidosis (from very acidic water)"
8.1,2.64,630.3,8.74,2.98,0,0,"Safe for consumption"
9.16,0.47,345,7.34,2.21,0,745,"Alkalosis (from very alkaline water)"
7.66,3.92,650.8,9.56,2.18,0,0,"Safe for consumption"
6.32,1.14,494.6,5.96,0.29,0,2,"Acidosis (from very acidic water)"
7.68,0.3,939.9,9.6,8.44,0,826,"Severe diarrheal disease"
6.01,0.81,567,5.3,1,0.0014,4,"Acidosis (from very acidic water)"
8.29,1.2,197,7.52,0.63,0.0015,359,"Gastroenteritis"
9.31,6.18,562.4,8.45,2.86,0.0424,0,"Lead poisoning (developmental issues)"
9.39,0.04,825.3,13.05,0.06,0,1,"Alkalosis (from very alkaline water)"
6.88,1.07,700.5,5.92,7.76,0,6,"Gastroenteritis"
7.01,0.85,580.2,8.64,0.95,0,680,"Gastroenteritis"
7.17,0.07,683.2,6.93,6.87,0.0491,1,"Lead poisoning (developmental issues)"
6.46,1.59,636.2,7.9,5.21,0.0083,0,"Acidosis (from very acidic water)"
10.97,0.46,477.4,7.76,4.96,0.001,1,"Gastroenteritis"
5.96,3.42,645,8.33,0.37,0,6,"Gastroenteritis"
6.56,1.68,297.8,6.86,0.16,0,7,"Gastroenteritis"
6.21,5.21,265.6,6.5,0.09,0,4,"Gastrointestinal illnesses"
8.83,0.54,346.1,10.51,2.62,0,0,"Alkalosis (from very alkaline water)"
8.8,1.1,498.6,6.24,0.32,0,2,"Alkalosis (from very alkaline water)"
7.59,3.95,480.9,8.66,4.79,0.0226,7,"Lead poisoning (developmental issues)"
8.37,0.51,359.1,9.9,1.12,0,6,"Gastroenteritis"
7.63,0.52,920.1,8.11,4.41,0.0527,0,"Severe neurological damage"
8.5,3.42,600.8,9.84,0.18,0,5844,"Severe diarrheal disease"
9.75,0.7,292,11.68,0.22,0,3,"Alkalosis (from very alkaline water)"
7.89,9.01,362.4,8.95,0.29,0,4,"Gastrointestinal illnesses"
8.21,0.49,853.1,6.98,0.61,0,0,"Safe for consumption"
7.39,0.03,350.6,10.9,3.92,0,0,"Safe for consumption"
6.77,0,629.3,7.76,3.17,0,0,"Safe for consumption"
7.98,2.78,275.9,7.59,0.03,0,6,"Gastroenteritis"
7.55,0.43,295.7,9.78,3.62,0,0,"Safe for consumption"
6.41,1.89,592.2,8.22,4.59,0.0052,1,"Acidosis (from very acidic water)"
7.75,4.32,800.4,9.63,10.96,0,2,"Gastroenteritis"
8.58,0.07,1019.3,9.16,4.77,0,0,"Kidney stones"
8.62,1.22,584.8,10.66,2.39,0,0,"Alkalosis (from very alkaline water)"
6.97,2.17,572.2,7.01,2.77,0.0048,0,"Safe for consumption"
6.96,0.59,436.9,8.34,4.45,0.0069,668,"Severe diarrheal disease"
7.22,0.84,339.5,8.66,1.68,0.0915,0,"Lead poisoning (developmental issues)"
7.19,0.36,367.6,7.59,1.51,0.0077,4,"Gastroenteritis"
8.7,0.59,161,8.02,2.19,0,479,"Severe diarrheal disease"
8.09,2.55,621.4,8.69,2.28,0,2,"Gastroenteritis"
7.7,2.95,275.9,8.47,0.97,0,5,"Gastroenteritis"
8.06,1.27,408.9,5.06,12.67,0,0,"Methemoglobinemia (Blue baby syndrome)"
7.32,1.5,339.9,4.36,1.05,0,0,"Anaerobic decomposition (produces harmful gases)"
7.23,1.18,471.1,9.87,3.76,0,2216,"Severe diarrheal disease"
7.48,0.24,882.3,5.58,0,0,9,"Gastroenteritis"
8.39,4.22,200.4,8.73,7.71,0,9,"Gastroenteritis"
8.6,1.54,569.4,6.03,3.36,0,0,"Alkalosis (from very alkaline water)"
8.2,2.34,173.4,7.99,2.52,0.0764,0,"Lead poisoning (developmental issues)"
6.47,6.96,605.8,10.62,10.84,0.0627,0,"Gastrointestinal illnesses"
8.9,5.92,568.1,7.29,3.89,0.074,0,"Severe neurological damage"
8.08,1.12,628.1,12,1.32,0.0064,0,"Safe for consumption"
9.43,3.26,280.9,8.38,13.31,0,0,"Methemoglobinemia (Blue baby syndrome)"
7.85,11.48,670.1,5.17,4.34,0,0,"Gastrointestinal illnesses"
8.22,1.45,458.9,6.73,0.07,0,0,"Safe for consumption"
7.21,0.05,691.6,6.72,3.95,0,934,"Severe diarrheal disease"
5.73,3.77,593.7,9.51,7.39,0,0,"Acidosis (from very acidic water)"
7.14,1,641,9.37,1.19,0,3,"Gastroenteritis"
7.8,0.94,627.9,9.07,1.15,0,0,"Safe for consumption"
8.38,0.57,612.4,7.04,3.84,0,0,"Safe for consumption"
6.69,0.3,882.1,9.88,0.33,0,384,"Severe diarrheal disease"
6.14,0.53,533.2,7.53,0.55,0,8,"Gastroenteritis"
8.81,0.09,304.3,8.46,0.45,0,0,"Alkalosis (from very alkaline water)"
8.07,1.04,791.4,6.16,7.68,0,6,"Gastroenteritis"
8.12,1.82,315.4,9.15,0.61,0,2945,"Dysentery"
8.57,8.05,261.2,7.64,8.61,0,8,"Gastrointestinal illnesses"
9.03,2.6,854.6,6.04,3.86,0.0081,0,"Alkalosis (from very alkaline water)"
7.69,1.14,460.2,8.57,7.08,0,127,"Severe diarrheal disease"
6.32,0.59,216.1,7.54,0.99,0,5883,"Dysentery"
8.66,2.33,501.4,6.81,22.25,0,957,"Alkalosis (from very alkaline water)"
6.51,0.93,328.5,9.13,5.28,0.0081,0,"Safe for consumption"
6.2,0.52,620,12.88,5.06,0,0,"Acidosis (from very acidic water)"
6.33,0.76,391,3.61,1.98,0,4,"Gastroenteritis"
8.07,0.97,538.5,8.09,10.85,0,0,"Methemoglobinemia (Blue baby syndrome)"
5.75,1.19,735.9,4.07,1.65,0.0087,7299,"Acidosis (from very acidic water)"
6.38,1.42,218.6,6.5,0.82,0,3460,"Severe diarrheal disease"
8.01,5.3,627.4,8.5,2.17,0.0762,0,"Severe neurological damage"
7.79,1.09,264.6,7.34,2.08,0,3,"Gastroenteritis"
7.36,0.02,393.8,9.57,0.58,0.0074,0,"Safe for consumption"
6.85,1.97,515,9.63,2.76,0.0083,0,"Safe for consumption"
8.17,1.3,602.2,8.1,2.36,0,333,"Severe diarrheal disease"
8.73,1.3,681.9,8.76,5.76,0.0041,0,"Alkalosis (from very alkaline water)"
6.72,4.07,415.3,11.85,1.44,0,0,"Safe for consumption"
8.26,1.64,119.6,7.44,1.13,0,0,"Safe for consumption"
7.59,2.12,478.3,10.69,3.14,0.086,3,"Severe neurological damage"
7.72,2.3,756.2,9.47,3.38,0.0653,1,"Lead poisoning (developmental issues)"
8.35,5.63,516.2,3.83,0.3,0,0,"Gastrointestinal illnesses"
8.83,0.64,372.4,6.5,8.85,0,9,"Alkalosis (from very alkaline water)"
7.17,4.18,534.2,6.76,1.18,0,0,"Safe for consumption"
6.34,0.72,59.1,9.7,0.31,0.0092,0,"Acidosis (from very acidic water)"
7.17,0.33,477.2,8.77,7.07,0,0,"Safe for consumption"
8.05,4.38,449.9,10.83,1.65,0,0,"Safe for consumption"
8.17,0.05,754.5,7.66,3.25,0.0076,0,"Safe for consumption"
8.42,3.53,211.9,7.13,0.49,0.0642,6,"Gastroenteritis"
7.08,3.37,1054.7,12.42,1.69,0,0,"Kidney stones"
7.65,3.01,811.6,8.67,6.97,0,142,"Gastroenteritis"
6.54,0.35,322,7.85,2.57,0,335,"Gastroenteritis"
7.83,1.51,529.5,5.94,4.26,0,0,"Safe for consumption"
7.77,4.68,481.6,6.35,6.24,0,0,"Safe for consumption"
6.29,0.66,288.4,9.23,0.99,0.0466,0,"Acidosis (from very acidic water)"
8.43,3.54,160.3,5.9,1.99,0.0724,0,"Lead poisoning (developmental issues)"
6.95,0.07,525.7,9.07,0.72,0,0,"Safe for consumption"
7.65,0.18,277.8,5.72,0.01,0.0022,0,"Safe for consumption"
5.5,0.24,478.6,12.5,1.99,0,0,"Acidosis (from very acidic water)"
6.94,1.73,239.9,12.41,2.25,0.0064,0,"Safe for consumption"
9.61,4.75,498,7.43,1.58,0,2589,"Alkalosis (from very alkaline water)"
10.83,0.32,624.5,5.81,1.01,0,1,"Gastroenteritis"
8.02,0.67,335.1,3.64,0.87,0,0,"Anaerobic decomposition (produces harmful gases)"
6.54,4.39,504.9,6.9,0.25,0,4655,"Gastroenteritis"
7.74,0.53,198.6,11.11,7.09,0,0,"Safe for consumption"
8.06,2.81,569,7.97,5.23,0,0,"Safe for consumption"
8.39,0.31,549,4.96,8.1,0,2,"Gastroenteritis"
5.87,0.58,341.4,8.97,0.86,0,0,"Acidosis (from very acidic water)"
8.32,0.15,671.2,11.33,4.73,0,0,"Safe for consumption"
6.35,3.12,617.5,7.44,2.21,0,0,"Acidosis (from very acidic water)"
7.37,1.91,746.7,9.79,0.49,0,0,"Safe for consumption"
5.99,0.8,586.8,5.21,3.45,0,932,"Acidosis (from very acidic water)"
5.97,0,841.8,12.85,4.11,0,0,"Acidosis (from very acidic water)"
7.55,0.06,516.9,8.94,1.72,0.0054,0,"Safe for consumption"
6.21,2.45,348.8,9.33,6.37,0,0,"Acidosis (from very acidic water)"
6.37,1.92,558.1,10.51,0.43,0,0,"Acidosis (from very acidic water)"
6.85,1.69,634.5,6.94,0.54,0,0,"Safe for consumption"
7.41,2.15,546.6,5.73,5.8,0,0,"Safe for consumption"
6.71,2.12,394.8,10.23,5.77,0,902,"Severe diarrheal disease"
7.08,2.92,478.3,9.53,5.52,0,0,"Safe for consumption"
7.18,0.05,244,5.46,6.78,0.0435,256,"Severe diarrheal disease"
8.61,1.46,199.1,8.46,2.97,0,0,"Alkalosis (from very alkaline water)"
6.62,2.83,635.4,6.63,7.03,0,0,"Safe for consumption"
7.4,0.04,596.7,8.33,1.48,0.003,2,"Gastroenteritis"
7.24,0.16,605.3,8.87,1.71,0.004,9,"Gastroenteritis"
6.03,0.65,589.3,7.43,0.42,0,9,"Acidosis (from very acidic water)"
9.57,3.1,518.4,4.88,1.13,0,3,"Alkalosis (from very alkaline water)"
7.79,0.19,454.3,11.52,0.78,0,5742,"Dysentery"
7.85,2.18,776.7,6.81,0.16,0.0025,0,"Safe for consumption"
7.3,6.48,486.9,9.16,0.55,0,0,"Gastrointestinal illnesses"
8.23,5.6,345,9.26,0.14,0,358,"Gastrointestinal illnesses"
6.89,2.24,212.2,8.47,7.65,0,5,"Gastroenteritis"
7.8,3.42,675.7,10.85,0.49,0,8473,"Gastroenteritis"
8.56,0.48,252.4,8.43,2.24,0.0753,6,"Alkalosis (from very alkaline water)"
7.11,1.97,734.3,8.86,2.93,0,0,"Safe for consumption"
6.15,0.48,548.9,8.74,0.24,0,0,"Acidosis (from very acidic water)"
7.25,3.86,604.9,4.26,4.63,0,0,"Anaerobic decomposition (produces harmful gases)"
6.76,1.55,440.5,6.16,9.31,0,9,"Gastroenteritis"
6.55,1,602.8,6.61,1.88,0,0,"Safe for consumption"
8.18,0.63,486,8.28,2.94,0,6,"Gastroenteritis"
7.16,0.05,290.3,10.95,5.5,0,1,"Gastroenteritis"
7.1,2.3,507.4,11.01,0.37,0,6,"Gastroenteritis"
6.56,6.39,150.7,9.2,3.25,0.0093,383,"Gastroenteritis"
7.82,2.91,725.2,5.3,7.46,0,0,"Safe for consumption"
8.22,10.37,380.9,11.06,2.2,0.0057,0,"Gastrointestinal illnesses"
7.09,1.04,441.8,8.11,7.45,0,0,"Safe for consumption"
9.49,1.12,861,5.58,2.65,0,0,"Alkalosis (from very alkaline water)"
6.59,1.42,118.6,7.13,1.15,0,0,"Safe for consumption"
8.13,2.74,351.3,9.01,0.31,0.007,1,"Gastroenteritis"
8.05,0.48,713.8,10.75,4.76,0.0091,0,"Safe for consumption"
5.63,0.07,630.9,8.06,2.19,0,0,"Acidosis (from very acidic water)"
5.5,2.38,763.9,8.55,9.59,0,0,"Acidosis (from very acidic water)"
7.66,2.06,558.5,3.75,0.59,0,3,"Anaerobic decomposition (produces harmful gases)"
8.52,3.53,151.5,9.13,0.44,0,0,"Alkalosis (from very alkaline water)"
7.45,0.24,530.3,6.66,0.79,0,372,"Gastroenteritis"
8.24,2.49,497.4,7.04,3.49,0,3,"Gastroenteritis"
6.86,0.09,493.5,6.94,17.99,0,0,"Methemoglobinemia (Blue baby syndrome)"
6.64,1.5,395.5,9.49,0.8,0.0536,407,"Lead poisoning (developmental issues)"
5.94,0.41,182,7.23,0.89,0.0099,0,"Acidosis (from very acidic water)"
5.95,0.15,443,9.36,0.79,0.0154,0,"Lead poisoning (developmental issues)"
7.71,0.03,194.6,7.92,5.73,0,290,"Severe diarrheal disease"
7.88,0.23,190.4,7.49,1.89,0,4,"Gastroenteritis"
5.54,0.65,394.8,6.96,8.93,0,0,"Acidosis (from very acidic water)"
8.7,7.03,469.2,10.24,2.23,0,0,"Alkalosis (from very alkaline water)"
10.11,3.09,389.4,5.97,0.46,0.0353,5,"Lead poisoning (developmental issues)"
7.32,4.45,328,7.92,1.81,0,0,"Safe for consumption"
6.6,2.69,598.6,6.03,4.51,0,6,"Gastroenteritis"
5.73,0.05,879,7.32,1.41,0,0,"Acidosis (from very acidic water)"
7.62,0.91,279.9,6.75,8.63,0.006,0,"Safe for consumption"
7.76,2.52,501.3,6.6,8.21,0,0,"Safe for consumption"
9.75,0.14,206.9,13.24,7.76,0.005,5,"Gastroenteritis"
8.71,2.36,753.1,8.77,7.87,0,3,"Gastroenteritis"
10.08,2.8,531.5,11.03,0.9,0,4962,"Gastroenteritis"
6.1,1.28,370.6,5.75,2.32,0,0,"Acidosis (from very acidic water)"
6.87,5.55,889.1,4.71,0.81,0,0,"Gastrointestinal illnesses"
8.45,3.45,381.3,8.39,0.47,0.0038,777,"Severe diarrheal disease"
8.38,1.64,427.7,9.53,1.51,0,0,"Safe for consumption"
7.77,0.08,638.3,8.21,3.48,0,8,"Gastroenteritis"
6.55,4.9,174.2,10.13,4.74,0.0073,839,"Severe diarrheal disease"
7.15,0.7,193.9,5.73,13.36,0,0,"Methemoglobinemia (Blue baby syndrome)"
7.9,0.12,474.2,9.18,3.77,0,792,"Gastroenteritis"
6.63,1.56,493.5,2.8,2.44,0,8,"Gastroenteritis"
8.42,0.83,271.5,6.79,0.09,0,0,"Safe for consumption"
8.06,0.36,279.6,5.54,2.03,0,6,"Gastroenteritis"
8.13,0.16,499.1,8.33,7.09,0,0,"Safe for consumption"
8.02,0.38,371.3,5.92,2.51,0,0,"Safe for consumption"
7.75,0.79,644.5,10.09,1.68,0.0016,0,"Safe for consumption"
6.91,2.28,505.9,9.65,4.72,0.0096,6,"Gastroenteritis"
7.03,0.9,668.9,8.88,0.05,0,8,"Gastroenteritis"
7.75,0.97,618.9,8.27,1.5,0,0,"Safe for consumption"
7.64,0.81,435.7,9.53,0.63,0.0224,0,"Lead poisoning (developmental issues)"
9.12,0.7,325.2,10.31,5.42,0,5,"Alkalosis (from very alkaline water)"
7.38,3.79,99.6,9.43,3.29,0,3,"Gastroenteritis"
7.34,0.01,625.7,8.49,0.34,0,750,"Severe diarrheal disease"
8.31,2.15,499.7,6.53,2.84,0,7,"Gastroenteritis"
8.76,0.38,867.6,3.73,1.54,0.003,0,"Alkalosis (from very alkaline water)"
8.72,1.15,791.9,7.64,15.56,0,0,"Methemoglobinemia (Blue baby syndrome)"
8.72,4.71,580,3.67,4.49,0,0,"Anaerobic decomposition (produces harmful gases)"
4.89,2.61,426.2,9.15,1.24,0,0,"Acidosis (from very acidic water)"
7.82,1.57,848,10.59,1.04,0,0,"Safe for consumption"
6.21,0.45,336.4,8.74,1.3,0,7,"Acidosis (from very acidic water)"
6.72,0.01,824.4,7.8,1.46,0,0,"Safe for consumption"
6.02,0.18,360.2,7.97,3.3,0,0,"Acidosis (from very acidic water)"
6.02,1.73,422.4,9.82,0.56,0,0,"Acidosis (from very acidic water)"
7.11,1.67,324.4,7.8,1.98,0.0076,0,"Safe for consumption"
6,0.48,461,3.14,2.58,0,134,"Acidosis (from very acidic water)"
8.2,1.12,403.6,5.92,0.9,0,3696,"Gastroenteritis"
6.82,1.67,845.2,7.45,3.09,0,0,"Safe for consumption"
6.3,1.27,362.6,7.63,2.72,0,0,"Acidosis (from very acidic water)"
9.77,1.46,418.7,8.72,3.86,0,0,"Alkalosis (from very alkaline water)"
8.38,0.89,601.3,4.29,1.47,0,0,"Anaerobic decomposition (produces harmful gases)"
9.9,3.89,566,8.89,2.24,0,0,"Alkalosis (from very alkaline water)"
8.98,8.1,484.2,6.02,1.21,0,160,"Alkalosis (from very alkaline water)"
6.49,3.43,337.6,9.11,6.25,0,0,"Acidosis (from very acidic water)"
6.41,3.11,371,9.28,9.54,0,7,"Gastroenteritis"
7.19,2.29,784.4,8.68,1.45,0.0044,0,"Safe for consumption"
8.94,0.09,362.6,8.93,2.9,0,2,"Alkalosis (from very alkaline water)"
7.87,6.44,342.3,5.15,2.93,0,0,"Gastrointestinal illnesses"
9.32,0.98,322.8,9.79,0.12,0,0,"Alkalosis (from very alkaline water)"
8.26,1.91,960.1,7.41,3.2,0,0,"Safe for consumption"
9.89,1.58,519,10.19,4.91,0,6210,"Alkalosis (from very alkaline water)"
6.93,7.41,652.8,5.19,0.58,0.0027,3,"Gastrointestinal illnesses"
7.53,3.52,508.6,9.57,7.02,0.0032,0,"Safe for consumption"
6.18,0.55,625.9,6.07,0.44,0.0057,0,"Acidosis (from very acidic water)"
7.77,5.23,443.9,7,0.85,0,338,"Gastrointestinal illnesses"
9.16,1.68,343.3,9.42,0.39,0,0,"Alkalosis (from very alkaline water)"
